Pool Name,Risk (Exponential),Yield (30d APY),Pool URL (Exponential),Protocol name,Assets (tickers),Assets (names),Protocol,Assets
Aave USD Lending,B,0.0034,https://exponential.fi/pools/6b1fbcc0-5424-4b7c-a0f9-df696ceb44e7,Aave V3,USDC,USD Coin (Optimism),https://www.notion.so/Aave-V3-3afbaf6e6d854b649ca8e999ed803e91,https://www.notion.so/USD-Coin-Optimism-e9e478f29ca149308ac4e572c9d35921
Aave ETH Lending,B,0.0008,https://exponential.fi/pools/0556b4ad-d569-4828-85f9-fd037989739d,Aave V3,ETH,Ether (Optimism),https://www.notion.so/Aave-V3-3afbaf6e6d854b649ca8e999ed803e91,https://www.notion.so/Ether-Optimism-e704056a8b8341b6a94d3209204900e5
Abracadabra USD Market Making,C,0.0891,https://exponential.fi/pools/742bf434-14ea-440a-aa97-b393995ed6eb,Abracadabra,"USDC,USDT,MIM","USD Coin (Arbitrum),Tether USD (Arbitrum),Magic Internet Money (Arbitrum)",https://www.notion.so/Abracadabra-29d91f586e77497f8e11e0a136abbd9d,"https://www.notion.so/USD-Coin-Arbitrum-ee19df9327cb4589a30303ab1ae833a0, https://www.notion.so/Tether-USD-Arbitrum-35225ab62f8844a5a5ded091704def40, https://www.notion.so/Magic-Internet-Money-Arbitrum-56c14b4593304ae092f79e699896609f"
Abracadabra USD Market Making,D,0,https://exponential.fi/pools/62e28e5e-c620-422a-aaf3-9230c9ef1da0,Abracadabra,"USDC,fUSDT,MIM","USD Coin (Fantom),Frapped USDT (Fantom),Magic Internet Money (Fantom)",https://www.notion.so/Abracadabra-29d91f586e77497f8e11e0a136abbd9d,"https://www.notion.so/USD-Coin-Fantom-62a69620e38f465ab7b3fbb36d336b01, https://www.notion.so/Frapped-USDT-Fantom-57fb2c52078d42df95004240d2f02abc, https://www.notion.so/Magic-Internet-Money-Fantom-411f574fdda94eaeba7578c473804c7d"
Across USD Bridging,B,0.0493,https://exponential.fi/pools/265b0661-8191-46ed-9dca-c8372b0579a1,Across,DAI,Dai Stablecoin,https://www.notion.so/Across-1782ff2ec4644e4f8b546121c83a8532,https://www.notion.so/Dai-Stablecoin-376edb1ce3d942088af5c5ce4c802364
Across USD Bridging,B,0.0471,https://exponential.fi/pools/56bb3361-e3a0-4a0f-ad78-2a7b6b12b18e,Across,USDC,USD Coin (Ethereum),https://www.notion.so/Across-1782ff2ec4644e4f8b546121c83a8532,https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316
Across BTC Bridging,B,0.0258,https://exponential.fi/pools/b7c50d66-8c19-4653-b0a2-71d6ca493892,Across,WBTC,Wrapped BTC (Ethereum),https://www.notion.so/Across-1782ff2ec4644e4f8b546121c83a8532,https://www.notion.so/Wrapped-BTC-Ethereum-a8a21ace393f4b1da2af0172d9694b73
Angle USD Lending,B,0.0453,https://exponential.fi/pools/c1ae8a2d-eb45-4286-af96-041b4bf60e94,Angle,DAI,Dai Stablecoin,https://www.notion.so/Angle-1029083610d84edbae03f8624d9e9102,https://www.notion.so/Dai-Stablecoin-376edb1ce3d942088af5c5ce4c802364
Angle USD Lending,B,0.0348,https://exponential.fi/pools/75490c82-69a5-43f5-8b52-ae8b89281232,Angle,USDC,USD Coin (Ethereum),https://www.notion.so/Angle-1029083610d84edbae03f8624d9e9102,https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316
AutoFarm ETH-CRO Market Making,D,0.0531,https://exponential.fi/pools/df51836a-e289-4cb6-be10-bd3e7d8122b6,Autofarm,"CRO,WETH","CRO,Wrapped Ether (Cronos)",https://www.notion.so/Autofarm-d8554328d59d4f00a02474a0f1521152,"https://www.notion.so/CRO-eb2a4742dfb74b62abdfb8da5e094fc9, https://www.notion.so/Wrapped-Ether-Cronos-58cc7b8fdc2a4e90980c3b01ce7b0f0c"
AutoFarm ETH-BNB Market Making,D,0.0471,https://exponential.fi/pools/83c25262-c033-43dd-8fee-4a91970f4375,Autofarm,"ETH,WBNB","Binance-Peg Ethereum Token,Wrapped BNB",https://www.notion.so/Autofarm-d8554328d59d4f00a02474a0f1521152,"https://www.notion.so/Binance-Peg-Ethereum-Token-c4f2f0c3ee58409799b6302c8153bb7a, https://www.notion.so/Wrapped-BNB-20ed35dd23a3403799a548386916a76d"
